No_Shot,Machine_Cycle_Time,Cycle_Time,Barrel_Temp_Z1,Barrel_Temp_Z2,Barrel_Temp_Z3,Barrel_Temp_Z4,Hopper_Temp,Injection_Pressure_Real_Time,Screw_Position,Injection_Peak_Press,Max_Injection_Rate,Screw_Velocity,VP_Time,VP_Position,Weighing_Start_Position,VP_Press,Plasticizing_Time,Plasticizing_Start_Position,Plasticizing_End_Position,Plasticizing_RPM,Minimum_Cushion,Cooling_Time,Back_Flow,Decompression_Time,_ID
0,16.54,16.52,210.2,200.7,193.5,187.3,40.1,1.23,6.02,1211.65,78.37,20.6,2,8.14,10.51,1062,4.74,10.46,63.11,28.27,6.02,8,49.03,0.32,0
1,16.56,16.54,210.2,200.8,193.5,187.2,40.2,1.24,6.02,1211.65,78.37,20.6,2,8.14,10.51,1062,4.81,10.49,63.11,28.27,6.02,8,49.03,0.32,1
2,16.58,16.56,210.1,200.7,193.5,187.2,40.2,1.26,6.02,1209.16,78.32,35.38,2,8.12,10.54,1101.41,4.8,10.53,63.11,28.27,6.02,8,49.03,0.32,2
3,16.62,16.58,210.1,200.6,193.5,187.2,40.2,1.3,6.28,1228.24,78.19,36.35,2,8.12,10.79,1092.55,4.84,10.78,63.11,28.27,6.28,8,49.03,0.33,3
4,16.62,16.62,210,200.5,193.4,187.3,40.1,1.31,6.46,1287.11,77.99,46.1,2,8.1,10.96,1153.41,4.86,10.94,63.11,28.27,6.46,8,49.03,0.33,4
5,16.62,16.64,210,200.4,193.4,187.3,40.1,1.3,6.43,1261.17,78.07,47.77,2,8.11,10.94,1176.73,4.87,10.92,63.11,28.27,6.43,8,49.03,0.33,5
6,16.62,16.62,210,200.3,193.3,187.4,40,1.31,6.51,1276.63,78.03,46.78,2,8.11,11,1162.02,4.84,10.99,63.11,28.27,6.51,8,49.03,0.33,6
7,16.62,16.62,210.1,200.3,193.4,187.5,40,1.3,6.38,1285.61,78.17,45.13,2,8.12,10.89,1151.92,4.87,10.87,63.11,28.27,6.38,8,49.03,0.32,7
8,16.6,16.64,210,200.4,193.4,187.7,39.9,1.31,6.39,1241.21,78.11,39.1,2,8.14,10.9,1108.89,4.89,10.89,63.11,28.27,6.39,8,49.03,0.32,8
9,16.62,16.62,209.9,200.3,193.6,187.9,40,1.32,6.4,1283.99,78.17,45.59,2,8.12,10.9,1149.05,4.93,10.88,63.11,28.27,6.4,8,49.03,0.32,9
10,16.62,16.64,210,200.2,193.6,188,40.1,1.32,6.43,1283.86,78.06,43.91,2,8.13,10.93,1131.71,4.83,10.91,63.11,28.27,6.43,8,49.03,0.32,10
11,16.64,16.62,210,200.2,193.6,188.1,40.2,1.32,6.4,1265.53,78.15,47.82,2,8.12,10.88,1165.76,4.91,10.86,63.11,28.27,6.4,8,49.03,0.32,11
12,16.62,16.64,210,200.2,193.7,188.3,40.1,1.32,6.37,1276.38,78.19,44.05,2,8.13,10.87,1130.47,4.88,10.85,63.11,28.27,6.37,8,49.03,0.32,12
13,16.62,16.64,210,200.2,193.8,188.4,40.1,1.32,6.47,1290.1,78.07,45.22,2,8.14,10.96,1136.58,4.9,10.94,63.12,28.27,6.47,8,49.03,0.32,13
14,16.62,16.64,210.1,200.1,193.8,188.4,40.1,1.32,6.55,1276.63,78,47.77,2,8.1,11.08,1169.25,4.91,11.06,63.11,28.27,6.55,8,49.03,0.32,14
15,16.6,16.64,210.1,200,193.8,188.5,40,1.31,6.53,1275.88,78.05,46.54,2,8.12,11.05,1159.28,4.9,11.04,63.11,28.27,6.53,8,49.03,0.32,15
16,16.6,16.62,210,200,193.9,188.7,40.1,1.3,6.44,1268.65,78.16,45.83,2,8.12,10.93,1171.37,4.89,10.92,63.12,28.27,6.44,8,49.03,0.32,16
17,16.62,16.6,210,200,194,188.7,40.1,1.31,6.49,1248.82,78.15,39.83,2,8.14,10.98,1111.39,4.84,10.97,63.11,28.27,6.49,8,49.03,0.32,17
18,16.62,16.64,209.9,199.9,194,188.7,40,1.31,6.43,1291.47,78.17,44.84,2,8.12,10.92,1139.57,4.9,10.91,63.11,28.27,6.43,8,49.03,0.32,18
19,16.62,16.62,210,199.9,194,188.7,40,1.31,6.5,1257.17,78.09,47.88,2,8.12,10.97,1184.97,4.87,10.95,63.11,28.27,6.5,8,49.03,0.32,19
20,16.62,16.64,210,200.1,194.1,188.9,40,1.32,6.5,1262.54,78.11,48.27,2,8.14,10.99,1166.76,4.89,10.97,63.11,28.27,6.5,8,49.03,0.32,20
21,16.62,16.64,209.9,200.1,194.3,189,40,1.33,6.47,1273.64,78.07,48.16,2,8.12,10.96,1156.53,4.9,10.95,63.12,28.27,6.47,8,49.03,0.32,21
22,16.64,16.64,210,200.1,194.3,189,40,1.34,6.52,1289.23,78.13,46.9,2,8.13,11,1146.8,4.87,10.99,63.11,28.27,6.52,8,49.03,0.32,22
23,16.64,16.64,210,200,194.3,189,40,1.32,6.38,1280.99,78.21,45.5,2,8.14,10.9,1149.8,4.9,10.89,63.12,28.27,6.38,8,49.03,0.32,23
24,16.62,16.64,210,200,194.3,189.1,40.1,1.32,6.36,1267.15,78.23,42.8,2,8.14,10.86,1126.97,4.92,10.85,63.11,28.27,6.36,8,49.03,0.32,24
