2024-08-31 00:27:34,793 INFO    StreamThr :16080 [internal.py:wandb_internal():85] W&B internal server running at pid: 16080, started at: 2024-08-31 00:27:34.792458
2024-08-31 00:27:34,795 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: status
2024-08-31 00:27:34,795 INFO    WriterThread:16080 [datastore.py:open_for_write():87] open: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\run-ja3a4kwk.wandb
2024-08-31 00:27:34,802 DEBUG   SenderThread:16080 [sender.py:send():391] send: header
2024-08-31 00:27:34,803 DEBUG   SenderThread:16080 [sender.py:send():391] send: run
2024-08-31 00:27:35,488 INFO    SenderThread:16080 [dir_watcher.py:__init__():211] watching files in: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files
2024-08-31 00:27:35,488 INFO    SenderThread:16080 [sender.py:_start_run_threads():1200] run started: ja3a4kwk with start time 1725031654.794162
2024-08-31 00:27:35,507 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: run_start
2024-08-31 00:27:35,520 DEBUG   HandlerThread:16080 [system_info.py:__init__():26] System info init
2024-08-31 00:27:35,520 DEBUG   HandlerThread:16080 [system_info.py:__init__():41] System info init done
2024-08-31 00:27:35,520 INFO    HandlerThread:16080 [system_monitor.py:start():194] Starting system monitor
2024-08-31 00:27:35,520 INFO    SystemMonitor:16080 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-31 00:27:35,520 INFO    HandlerThread:16080 [system_monitor.py:probe():214] Collecting system info
2024-08-31 00:27:35,520 DEBUG   HandlerThread:16080 [system_info.py:probe():152] Probing system
2024-08-31 00:27:35,520 INFO    SystemMonitor:16080 [interfaces.py:start():188] Started cpu monitoring
2024-08-31 00:27:35,520 INFO    SystemMonitor:16080 [interfaces.py:start():188] Started disk monitoring
2024-08-31 00:27:35,535 INFO    SystemMonitor:16080 [interfaces.py:start():188] Started memory monitoring
2024-08-31 00:27:35,539 INFO    SystemMonitor:16080 [interfaces.py:start():188] Started network monitoring
2024-08-31 00:27:35,539 DEBUG   HandlerThread:16080 [gitlib.py:_init_repo():56] git repository is invalid
2024-08-31 00:27:35,539 DEBUG   HandlerThread:16080 [system_info.py:probe():200] Probing system done
2024-08-31 00:27:35,539 DEBUG   HandlerThread:16080 [system_monitor.py:probe():223] {'os': 'Windows-10-10.0.22631-SP0', 'python': '3.11.7', 'heartbeatAt': '2024-08-30T15:27:35.520574', 'startedAt': '2024-08-30T15:27:34.781728', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'C:\\Users\\UVC\\Desktop\\ai\\wandb_iris.py', 'codePathLocal': 'wandb_iris.py', 'codePath': 'wandb_iris.py', 'host': 'LAPTOP-EH048JBC', 'username': 'UVC', 'executable': 'C:\\ProgramData\\anaconda3\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 8, 'cpu_freq': {'current': 2419.0, 'min': 0.0, 'max': 2419.0}, 'cpu_freq_per_core': [{'current': 2419.0, 'min': 0.0, 'max': 2419.0}], 'disk': {'/': {'total': 220.6770477294922, 'used': 166.20248794555664}}, 'memory': {'total': 15.729835510253906}}
2024-08-31 00:27:35,539 INFO    HandlerThread:16080 [system_monitor.py:probe():224] Finished collecting system info
2024-08-31 00:27:35,539 INFO    HandlerThread:16080 [system_monitor.py:probe():227] Publishing system info
2024-08-31 00:27:35,539 DEBUG   HandlerThread:16080 [system_info.py:_save_conda():209] Saving list of conda packages installed into the current environment
2024-08-31 00:27:36,502 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\conda-environment.yaml
2024-08-31 00:27:43,982 DEBUG   HandlerThread:16080 [system_info.py:_save_conda():224] Saving conda packages done
2024-08-31 00:27:43,982 INFO    HandlerThread:16080 [system_monitor.py:probe():229] Finished publishing system info
2024-08-31 00:27:43,982 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: status_report
2024-08-31 00:27:43,982 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: keepalive
2024-08-31 00:27:43,982 DEBUG   SenderThread:16080 [sender.py:send():391] send: files
2024-08-31 00:27:43,982 INFO    SenderThread:16080 [sender.py:_save_file():1466] saving file wandb-metadata.json with policy now
2024-08-31 00:27:44,561 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\conda-environment.yaml
2024-08-31 00:27:44,561 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\wandb-metadata.json
2024-08-31 00:27:44,657 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: python_packages
2024-08-31 00:27:44,657 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: stop_status
2024-08-31 00:27:44,657 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: internal_messages
2024-08-31 00:27:44,657 DEBUG   SenderThread:16080 [sender.py:send_request():418] send_request: python_packages
2024-08-31 00:27:44,657 DEBUG   SenderThread:16080 [sender.py:send_request():418] send_request: stop_status
2024-08-31 00:27:44,952 DEBUG   SenderThread:16080 [sender.py:send():391] send: telemetry
2024-08-31 00:27:45,004 INFO    wandb-upload_0:16080 [upload_job.py:push():130] Uploaded file C:\Users\UVC\AppData\Local\Temp\tmpofa3anwqwandb\gls8l1gn-wandb-metadata.json
2024-08-31 00:27:45,144 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: partial_history
2024-08-31 00:27:45,144 DEBUG   SenderThread:16080 [sender.py:send():391] send: history
2024-08-31 00:27:45,144 DEBUG   SenderThread:16080 [sender.py:send_request():418] send_request: summary_record
2024-08-31 00:27:45,144 INFO    SenderThread:16080 [sender.py:_save_file():1466] saving file wandb-summary.json with policy end
2024-08-31 00:27:45,566 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\requirements.txt
2024-08-31 00:27:45,566 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\wandb-summary.json
2024-08-31 00:27:45,783 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: log_artifact
2024-08-31 00:27:45,783 DEBUG   SenderThread:16080 [sender.py:send_request():418] send_request: log_artifact
2024-08-31 00:27:46,475 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: partial_history
2024-08-31 00:27:46,570 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\media\table\numeric_data_description_1_7554a90329b72d183e22.table.json
2024-08-31 00:27:46,570 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\media\table
2024-08-31 00:27:46,570 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\media
2024-08-31 00:27:46,956 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: log_artifact
2024-08-31 00:27:46,972 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: partial_history
2024-08-31 00:27:47,399 INFO    wandb-upload_1:16080 [upload_job.py:push():88] Uploaded file C:\Users\UVC\AppData\Local\wandb\wandb\artifacts\staging\tmpkdhl5mjj
2024-08-31 00:27:47,577 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\media\table\missing_values_2_43710d5db8b97d62fa32.table.json
2024-08-31 00:27:47,577 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\media\table
2024-08-31 00:27:47,592 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: partial_history
2024-08-31 00:27:47,752 INFO    wandb-upload_0:16080 [upload_job.py:push():130] Uploaded file C:\Users\UVC\AppData\Local\Temp\tmpofa3anwqwandb\omh045az-media/table/numeric_data_description_1_7554a90329b72d183e22.table.json
2024-08-31 00:27:47,814 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: partial_history
2024-08-31 00:27:48,008 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: partial_history
2024-08-31 00:27:48,198 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: partial_history
2024-08-31 00:27:48,293 INFO    SenderThread:16080 [sender.py:send_request_log_artifact():1537] logged artifact run-ja3a4kwk-numeric_data_description - {'id': 'QXJ0aWZhY3Q6MTE3MzAxODE2Nw==', 'state': 'PENDING', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjQxODgxNzk5NQ==', 'latestArtifact': None}}
2024-08-31 00:27:48,293 DEBUG   SenderThread:16080 [sender.py:send():391] send: files
2024-08-31 00:27:48,293 INFO    SenderThread:16080 [sender.py:_save_file():1466] saving file media\table\numeric_data_description_1_7554a90329b72d183e22.table.json with policy now
2024-08-31 00:27:48,293 DEBUG   HandlerThread:16080 [handler.py:handle_request():158] handle_request: status_report
2024-08-31 00:27:48,293 DEBUG   SenderThread:16080 [sender.py:send():391] send: history
2024-08-31 00:27:48,293 DEBUG   SenderThread:16080 [sender.py:send_request():418] send_request: summary_record
2024-08-31 00:27:48,293 INFO    SenderThread:16080 [sender.py:_save_file():1466] saving file wandb-summary.json with policy end
2024-08-31 00:27:48,293 DEBUG   SenderThread:16080 [sender.py:send_request():418] send_request: log_artifact
2024-08-31 00:27:48,588 INFO    Thread-16 :16080 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\UVC\Desktop\ai\wandb\run-20240831_002734-ja3a4kwk\files\wandb-summary.json
